公司,站代號,刷卡自助,GoStation,洗車類別,無鉛92,無鉛95,無鉛98,超柴
台灣中油,CC6212F06,0,0,,1,1,1,1
台灣中油,CC6212F07,1,0,,1,1,1,1
台灣中油,CC6212F08,0,0,,1,1,1,1
台灣中油,CC6212F09,0,0,,1,1,0,1
台灣中油,CC6212F10,1,0,,1,1,1,1
台灣中油,CC6212F11,0,0,,1,1,1,1
台灣中油,CC6212F12,1,0,,1,1,1,1
台灣中油,CC6212F13,1,0,,1,1,1,1
台灣中油,CC6212F14,1,0,,1,1,0,1
台灣中油,CC6212F15,0,0,,1,1,1,1
台灣中油,CC6212F16,0,0,,1,1,1,1
台灣中油,CC6212F17,0,0,,1,1,0,1
台灣中油,CC6212F52,1,0,,1,1,1,1
台灣中油,CC6212F54,0,0,,1,1,1,1
台灣中油,CC6212F61,0,0,,1,1,0,1
台灣中油,CC6212F64,1,0,,1,1,1,0
台灣中油,CC6212F65,0,0,,1,1,1,1
台灣中油,CC6212F72,0,0,,1,1,1,1
台灣中油,CC6212F73,0,0,,1,1,1,1
台灣中油,CC6212F75,0,0,,1,1,1,1
台灣中油,CC6212F76,0,0,,1,1,1,1
台灣中油,CC6212F78,0,0,,1,1,1,1
台灣中油,CC6212F79,0,0,,1,1,1,1
台灣中油,CC6212F80,0,0,,1,1,1,1
台灣中油,CC6212F81,0,0,,1,1,1,1
台灣中油,CC6212F82,1,0,,1,1,1,0
台灣中油,CC6212F83,0,0,,1,1,1,1
台灣中油,CC6212F84,0,0,,1,1,1,1
台灣中油,CC6212F85,1,0,,1,1,0,1
台灣中油,CC6212F86,1,0,,1,1,1,1
台灣中油,CC6212F87,0,0,,1,1,1,1
台灣中油,CC6212F88,1,0,,1,1,1,1
台灣中油,CC6212F89,0,0,,1,1,1,1
台灣中油,CC6212F90,0,0,,1,1,1,1
台灣中油,CC6212F91,1,0,,1,1,1,0
台灣中油,CC6212F93,0,0,,1,1,1,1
台灣中油,CC6212F94,0,0,,1,1,0,1
台灣中油,CC6212F95,0,0,,1,1,1,1
台灣中油,CC6212F96,0,0,,1,1,1,1
台灣中油,CC6212F97,0,0,,1,1,1,1
台灣中油,CC6212F99,0,0,,1,1,0,1
台灣中油,CC6212G03,0,0,,1,1,1,1
台灣中油,CC6212G21,0,0,,1,1,1,1
台灣中油,CC6212G22,0,0,,1,1,1,1
台灣中油,CC6212G23,1,0,,1,1,1,1
台灣中油,CC6212G28,0,0,,1,1,0,1
台灣中油,CC6212G29,0,0,,1,1,1,1
台灣中油,CC6212G31,0,0,,1,1,0,1
台灣中油,CC6212G41,0,0,,1,1,1,1
台灣中油,CC6212G46,1,0,,1,1,1,1
台灣中油,CC6212G49,1,0,,1,1,1,1
台灣中油,CC6212G50,1,0,,1,1,1,1
台灣中油,CC6212G52,1,0,,1,1,1,1
台灣中油,CC6212G54,1,0,,1,1,1,1
台灣中油,CC6212G60,0,0,,1,1,1,1
台灣中油,CC6212G67,1,0,,1,1,1,1
台灣中油,CC6212G68,1,0,,1,1,1,1
台灣中油,CC6212G69,1,0,,1,1,1,1
台灣中油,CC6212G73,1,0,,1,1,1,1
台灣中油,CC6212G74,0,0,,1,1,1,1
台灣中油,CC6212G77,0,0,,1,1,1,1
台灣中油,CC6212G81,1,0,,1,1,1,1
台灣中油,CC6212G86,1,0,,1,1,1,1
台灣中油,CC6212G87,0,0,,1,1,1,1
台灣中油,CC6212G90,0,0,,1,1,1,1
台灣中油,CC6212G91,0,0,,1,1,1,1
台灣中油,CC6212G92,1,0,,1,1,1,1
台灣中油,CC6212G93,0,0,,1,1,0,1
台灣中油,CC6212G95,0,0,,1,1,1,1
台灣中油,CC6212G99,0,0,,1,1,0,1
台灣中油,CC6212H03,1,0,,1,1,1,1
台灣中油,CC6212H04,0,0,,1,1,1,1
台灣中油,CC6212H08,0,0,,1,1,1,1
台灣中油,CC6212H09,0,0,,1,1,1,1
台灣中油,CC6212H10,0,0,,1,1,1,1
台灣中油,CC6212H11,0,0,,1,1,1,1
台灣中油,CC6212H12,0,0,,0,1,1,1
台灣中油,CC6212H13,0,0,,1,1,1,1
台灣中油,CC6212H14,1,0,,1,1,1,1
台灣中油,CC6212H15,0,0,,1,1,1,1
台灣中油,CC6212H16,0,0,,1,1,1,1
台灣中油,CC6212H17,0,0,,1,1,1,1
台灣中油,CC6212H18,0,0,,1,1,0,1
台灣中油,CC6212H19,0,0,,1,1,1,1
台灣中油,D2030,0,0,,0,0,0,0
台灣中油,D2041,1,0,,1,1,1,1
台灣中油,D2042,0,0,,1,1,1,0
台灣中油,D2044,1,0,,1,1,1,1
台灣中油,D2045,0,1,自助投幣式 ,1,1,1,1
台灣中油,D2046,0,0,自助投幣式,1,1,1,1
台灣中油,D2047,1,0,,1,1,1,1
台灣中油,D2048,0,0,自助投幣式,1,1,1,1
台灣中油,D2049,0,0,精緻手工,1,1,1,1
台灣中油,D2050,0,1,自助投幣式,1,1,1,1
台灣中油,D2052,1,1,,1,1,1,1
台灣中油,D2053,0,1,,1,1,1,1
台灣中油,D2054,1,0,,1,1,1,1
台灣中油,D2055,1,0,,1,1,1,1
台灣中油,D2056,0,0,,1,1,1,1
台灣中油,D2057,0,0,,1,1,1,1
台灣中油,D2058,0,0,,1,1,1,1
台灣中油,D2059,0,1,,1,1,1,1
台灣中油,D2060,1,0,,1,1,1,1
台灣中油,D2061,0,0,洗車機,1,1,1,1
台灣中油,D2090,0,0,,0,1,0,0
台灣中油,D2140,1,0,洗車機,1,1,1,1
台灣中油,D2141,1,0,精緻手工,1,1,1,1
台灣中油,D2142,1,1,精緻手工,1,1,1,1
台灣中油,D2144,0,0,,1,1,1,0
台灣中油,D2145,1,0,,1,1,1,1
台灣中油,D2146,1,1,精緻手工,1,1,1,1
台灣中油,D2147,0,0,,1,1,0,0
台灣中油,D2149,1,0,,1,1,1,0
台灣中油,D214F,0,0,,1,1,1,1
台灣中油,D214G,1,0,,1,1,1,1
台灣中油,D214H,1,0,自助投幣式,1,1,1,1
台灣中油,D214J,1,0,精緻手工,1,1,1,0
台灣中油,D214K,1,0,精緻手工,1,1,1,0
台灣中油,D214L,1,0,,1,1,1,1
台灣中油,D214M,1,0,,1,1,1,0
台灣中油,D214N,1,0,,1,1,1,1
台灣中油,D214R,1,0,精緻手工,1,1,1,1
台灣中油,D214T,1,1,,1,1,1,1
台灣中油,D214X,1,1,,0,1,1,0
台灣中油,D214Z,1,0,自助投幣式 ,1,1,1,1
台灣中油,D2150,1,0,,1,1,1,1
台灣中油,D2151,1,1,精緻手工,1,1,1,1
台灣中油,D2152,1,0,,1,1,1,0
台灣中油,D2153,0,0,,1,1,1,0
台灣中油,D2154,1,0,,1,1,1,0
台灣中油,D2156,0,0,,1,1,1,0
台灣中油,D2157,1,1,,1,1,1,0
台灣中油,D2158,1,1,,1,1,1,1
台灣中油,D2159,0,0,,1,1,1,0
台灣中油,D215A,0,0,,0,1,0,1
台灣中油,D215E,1,0,,1,1,1,1
台灣中油,D215H,1,0,,1,1,1,0
台灣中油,D215J,1,0,洗車機,1,1,1,1
台灣中油,D215K,1,1,精緻手工,1,1,1,1
台灣中油,D215L,1,0,,1,1,0,1
台灣中油,D215M,0,0,自助投幣式,1,1,1,1
台灣中油,D215N,1,1,精緻手工,1,1,1,1
台灣中油,D215R,1,0,精緻手工,1,1,1,1
台灣中油,D215T,1,0,精緻手工,1,1,1,0
台灣中油,D215V,1,0,洗車機,1,1,1,1
台灣中油,D215W,1,1,精緻手工,1,1,1,1
台灣中油,D215Y,1,0,精緻手工,1,1,1,1
台灣中油,D215Z,1,1,精緻手工,1,1,1,1
台灣中油,D2160,1,0,洗車機,1,1,1,1
